gets,0
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,True
18,True
19,True
19,True
19,True
19,False
19,False
19,True
19,False
19,True
19,True
19,True
19,True
19,True
19,True
19,False
19,True
19,True
19,False
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,False
19,False
19,True
19,True
19,True
19,True
19,True
19,False
19,False
19,False
19,False
19,True
19,False
19,True
19,True
19,True
19,True
19,False
19,True
19,True
19,True
19,True
19,True
19,False
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,False
19,False
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,False
19,True
19,True
19,True
19,True
19,False
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
19,True
20,False
20,True
20,True
20,True
20,False
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,False
20,False
20,False
20,True
20,True
20,True
20,True
20,False
20,False
20,False
20,True
20,True
20,True
20,True
20,True
20,False
20,True
20,False
20,False
20,False
20,True
20,True
20,True
20,False
20,False
20,False
20,False
20,False
20,True
20,False
20,False
20,False
20,False
20,True
20,False
20,True
20,False
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,False
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,True
20,False
21,True
21,False
21,True
21,True
21,True
21,True
21,False
21,True
21,False
21,False
21,False
21,True
21,True
21,True
21,False
21,False
21,False
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,False
21,False
21,False
21,True
21,True
21,False
21,True
21,False
21,False
21,True
21,False
21,True
21,False
21,False
21,True
21,True
21,False
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,False
21,True
21,True
21,True
21,True
21,True
21,False
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,True
21,False
21,True
21,True
22,True
22,True
22,True
22,True
22,True
22,True
22,True
22,True
22,True
22,False
22,True
22,True
22,True
22,False
22,False
22,True
22,False
22,True
22,True
22,True
22,False
22,True
22,False
22,False
22,True
22,True
22,True
22,True
22,True
22,False
22,True
22,True
22,True
22,True
22,True
22,False
22,False
22,True
22,True
22,False
22,True
22,False
22,True
22,False
22,False
22,False
22,True
22,False
22,False
22,True
22,True
22,True
22,True
22,True
22,True
22,True
22,True
22,True
22,True
22,True
22,False
22,True
22,True
22,True
22,True
22,True
22,False
22,True
22,True
22,True
22,False
22,True
22,True
22,True
22,False
22,True
22,False
22,True
22,True
22,True
22,True
22,True
22,False
22,True
22,True
22,True
22,True
23,True
23,True
23,True
23,True
23,True
23,True
23,False
23,True
23,True
23,True
23,True
23,True
23,True
23,False
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,False
23,True
23,True
23,True
23,False
23,True
23,False
23,True
23,True
23,True
23,False
23,False
23,True
23,True
23,False
23,False
23,False
23,False
23,False
23,False
23,False
23,False
23,True
23,False
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,False
23,False
23,False
23,True
23,False
23,False
23,False
23,False
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,True
23,False
24,True
24,True
24,False
24,False
24,True
24,False
24,True
24,True
24,False
24,True
24,False
24,True
24,True
24,False
24,True
24,False
24,True
24,False
24,True
24,True
24,False
24,False
24,False
24,False
24,False
24,True
24,False
24,False
24,False
24,False
24,False
24,True
24,False
24,True
24,False
24,False
24,True
24,True
24,False
24,True
24,False
24,False
24,True
24,False
24,True
24,True
24,False
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,False
24,False
24,True
24,True
24,False
24,True
24,False
24,True
24,False
24,False
24,True
24,True
24,False
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,True
24,False
25,True
25,False
25,True
25,True
25,False
25,False
25,False
25,True
25,False
25,True
25,True
25,True
25,True
25,True
25,True
25,False
25,True
25,True
25,True
25,True
25,True
25,True
25,False
25,False
25,True
25,False
25,False
25,False
25,True
25,True
25,True
25,True
25,True
25,False
25,False
25,True
25,True
25,True
25,False
25,False
25,True
25,False
25,False
25,False
25,True
25,True
25,True
25,False
25,True
25,False
25,True
25,True
25,True
25,True
25,True
25,True
25,True
25,True
25,True
25,True
25,True
25,True
25,True
25,True
25,False
25,True
25,True
25,True
25,True
25,True
25,True
25,True
25,True
25,True
25,True
25,True
25,True
25,False
25,False
25,False
25,False
25,True
25,True
25,True
25,True
25,False
25,True
25,True
25,True
25,True
25,True
25,False
25,True
25,True
25,False
25,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,False
26,True
26,True
26,False
26,True
26,True
26,False
26,True
26,True
26,False
26,True
26,False
26,True
26,True
26,True
26,False
26,True
26,True
26,False
26,True
26,False
26,True
26,True
26,True
26,False
26,True
26,True
26,True
26,True
26,False
26,True
26,False
26,False
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,False
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,False
26,True
26,True
26,True
26,True
26,True
26,True
26,True
26,True
27,True
27,True
27,False
27,True
27,False
27,True
27,False
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,False
27,True
27,False
27,False
27,False
27,False
27,False
27,True
27,False
27,False
27,False
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,False
27,True
27,True
27,True
27,True
27,True
27,True
27,False
27,True
27,True
27,False
27,False
27,True
27,True
27,True
27,True
27,False
27,False
27,False
27,False
27,True
27,False
27,False
27,True
27,False
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,False
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
27,True
28,True
28,False
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,False
28,False
28,True
28,True
28,False
28,False
28,False
28,True
28,True
28,True
28,False
28,True
28,True
28,True
28,False
28,True
28,False
28,True
28,True
28,True
28,True
28,True
28,False
28,True
28,False
28,True
28,True
28,True
28,False
28,False
28,True
28,True
28,False
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,False
28,True
28,True
28,True
28,True
28,False
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
28,True
29,True
29,False
29,False
29,True
29,True
29,True
29,True
29,True
29,True
29,False
29,False
29,True
29,False
29,True
29,True
29,True
29,True
29,True
29,True
29,False
29,True
29,True
29,True
29,True
29,True
29,True
29,True
29,False
29,True
29,True
29,False
29,False
29,True
29,False
29,True
29,True
29,True
29,True
29,False
29,False
29,False
29,True
29,False
29,True
29,False
29,True
29,True
29,True
29,False
29,True
29,True
29,True
29,True
29,True
29,True
29,True
29,True
29,False
29,True
29,False
29,True
29,True
29,True
29,True
29,True
29,True
29,True
29,True
29,False
29,True
29,True
29,True
29,True
29,True
29,True
29,True
29,True
29,True
29,True
29,True
29,True
29,True
29,True
29,True
